Year,Texas,California,Michigan,North Carolina,Connecticut,Arkansas
2010,1047936,1980737,784709,104736,50246,52999
2011,204000,763022,1010166,1968465,1576100,282409
2012,723377,125000,626170,76406,649075,1077460
2013,1271798,361500,1181375,228000,75000,0
2014,629237,84500,1270567,632277,273899,181799
2015,1299765,218753,580634,347776,62442,135866
2016,816167,864223,306209,637955,505197,177544
2017,3045636,80898,1539131,455571,434416,221174
2018,304864,2472977,1051591,2558712,805859,121280
2019,2482410,1341499,1119000,249071,254081,202333
2020,1648932,578349,872827,1874388,2302034,823147
