"NERC Region","Outages","Total_Cust","Mean_Loss","Med_Loss","Mean_Cust"
"FRCC",19,7715875,1048.15384615385,225,482242.1875
"MRO",35,3118766,479.25,235,107543.655172414
"N/A",2,993000,1210,1210,496500
"NP",1,371000,NA,NA,371000
"NPCC",111,14812274,658.4375,67.5,133443.90990991
"NPCC, RFC",1,74000,NA,NA,74000
"NPCC; RFC",1,2e+05,NA,NA,2e+05
"RF",76,10730776,156.6,70,145010.486486486
"RFC",203,37397223,508.170212765957,354,196827.489473684
"RFC; SERC",2,263520,NA,NA,131760
"SERC",263,31038914,2472.69298245614,305,142380.339449541
"SPP",32,1951852,141.125,85,67305.2413793103
"SPP RE",18,1739881,11,11,102345.941176471
"SPP, SERC, TRE",1,170244,NA,NA,170244
"TRE",118,19497831,920.117647058824,400.5,249972.192307692
"WECC",144,23920945,719.868686868687,184,191367.56
