State,Outages,Total_Cust,Mean_Loss,Med_Loss,Mean_Cust
AL,43,4137160,1248.166667,268,103429
AR,41,3505522,4094.75,36,106227.9394
AZ,3,82000,600,600,41000
CA,80,9152299,367.137931,162.5,136601.4776
CO,4,287379,55,58,71844.75
CT,44,7192237,445,75,163459.9318
DC,2,97651,NA,NA,97651
DE,13,1902614,0,0,158551.1667
FL,18,7670271,1122.833333,277.5,511351.4
GA,9,1278042,508.75,420.5,142004.6667
HI,1,62000,220,220,62000
IA,3,250000,975,975,250000
ID,3,252417,114.5,114.5,126208.5
IL,32,6833799,1185,1185,227793.3
IN,31,8997107,883,535,290229.2581
KS,13,939842,3000,3000,104426.8889
KY,15,1168848,480,480,83489.14286
LA,37,2974238,238.0833333,200,110156.963
MA,10,640164,27,27,64016.4
MD,23,4463641,953.6666667,700,212554.3333
ME,8,1162132,510,510,145266.5
MI,72,10547231,259.9411765,254,150674.7286
MN,14,1610152,207.6666667,250,123857.8462
MO,13,832474,82.5,65,75679.45455
MS,3,0,NA,NA,NA
NC,59,9307232,8133,400,186144.64
NE,3,157100,63,63,52366.66667
NH,2,106000,NA,NA,53000
NJ,31,5988051,145.4,85,199601.7
NV,4,4200000,5870,7650,1050000
NY,43,5581741,1093.714286,60,129807.9302
OH,27,2790978,253.4,347,103369.5556
OK,25,2190877,177.8,30,95255.52174
OR,11,959607,605.8333333,213,95960.7
PA,41,7601812,272,150,194918.2564
SC,13,3129226,1541.875,693.5,260768.8333
SD,3,7,3.333333333,5,2.333333333
TN,26,1436820,305.3333333,300,79823.33333
TX,115,18815370,923.4411765,400.5,247570.6579
UT,1,60000,NA,NA,60000
VA,34,4763567,775.4285714,497.5,148861.4688
WA,34,8938178,827.3809524,200,270853.8788
WI,5,294770,219.6666667,220,58954
